GEOIDUS,GEODISPLAB,GCTARGID,GEOID,GCDISPLAB,GCLAB,2010,2011,2012,2013,2014,2015,2016
0100000US,United States,310M300US27860,27860,"United States - Jonesboro, AR Metro Area","Jonesboro, AR Metro Area",121253,122817,124241,125810,126776,128390,129858
0100000US,United States,310M300US27900,27900,"United States - Joplin, MO Metro Area","Joplin, MO Metro Area",175866,176667,174477,175238,176125,176943,177805
0100000US,United States,310M300US27980,27980,"United States - Kahului-Wailuku-Lahaina, HI Metro Area","Kahului-Wailuku-Lahaina, HI Metro Area",155072,156849,158588,160976,163338,164357,165474
0100000US,United States,310M300US28020,28020,"United States - Kalamazoo-Portage, MI Metro Area","Kalamazoo-Portage, MI Metro Area",326905,328393,330519,332492,334187,335030,336877
0100000US,United States,310M300US28100,28100,"United States - Kankakee, IL Metro Area","Kankakee, IL Metro Area",113447,113518,112976,112227,111461,110795,110008
0100000US,United States,310M300US28140,28140,"United States - Kansas City, MO-KS Metro Area","Kansas City, MO-KS Metro Area",2013735,2024762,2038675,2053766,2069314,2084464,2104509
0100000US,United States,310M300US28420,28420,"United States - Kennewick-Richland, WA Metro Area","Kennewick-Richland, WA Metro Area",255646,263641,268258,271048,274330,279162,283846
0100000US,United States,310M300US28660,28660,"United States - Killeen-Temple, TX Metro Area","Killeen-Temple, TX Metro Area",408330,412654,420059,422933,424994,430788,435857
0100000US,United States,310M300US28700,28700,"United States - Kingsport-Bristol-Bristol, TN-VA Metro Area","Kingsport-Bristol-Bristol, TN-VA Metro Area",309561,309069,308751,308135,307522,306715,306334
0100000US,United States,310M300US28740,28740,"United States - Kingston, NY Metro Area","Kingston, NY Metro Area",182408,182647,181811,180987,180680,179824,179225
0100000US,United States,310M300US28940,28940,"United States - Knoxville, TN Metro Area","Knoxville, TN Metro Area",838857,842946,847602,851811,856428,861169,868546
0100000US,United States,310M300US29020,29020,"United States - Kokomo, IN Metro Area","Kokomo, IN Metro Area",82727,82856,82914,82840,82739,82581,82568
0100000US,United States,310M300US29100,29100,"United States - La Crosse-Onalaska, WI-MN Metro Area","La Crosse-Onalaska, WI-MN Metro Area",133885,134179,135519,135891,136468,136830,136936
0100000US,United States,310M300US29180,29180,"United States - Lafayette, LA Metro Area","Lafayette, LA Metro Area",467615,470685,474223,479634,484965,489865,491528
0100000US,United States,310M300US29200,29200,"United States - Lafayette-West Lafayette, IN Metro Area","Lafayette-West Lafayette, IN Metro Area",202083,204469,207371,210074,212141,214305,216679
0100000US,United States,310M300US29340,29340,"United States - Lake Charles, LA Metro Area","Lake Charles, LA Metro Area",200005,200515,201190,202179,203512,205495,207483
0100000US,United States,310M300US29420,29420,"United States - Lake Havasu City-Kingman, AZ Metro Area","Lake Havasu City-Kingman, AZ Metro Area",200378,202635,203126,202622,202985,204165,205249
0100000US,United States,310M300US29460,29460,"United States - Lakeland-Winter Haven, FL Metro Area","Lakeland-Winter Haven, FL Metro Area",603213,609669,615294,622656,634932,649425,666149
0100000US,United States,310M300US29540,29540,"United States - Lancaster, PA Metro Area","Lancaster, PA Metro Area",520361,523689,526864,530189,533650,536349,538500
0100000US,United States,310M300US29620,29620,"United States - Lansing-East Lansing, MI Metro Area","Lansing-East Lansing, MI Metro Area",464247,466100,466782,467959,470107,471794,475099
0100000US,United States,310M300US29700,29700,"United States - Laredo, TX Metro Area","Laredo, TX Metro Area",251335,255486,259738,263564,266605,268929,271193
0100000US,United States,310M300US29740,29740,"United States - Las Cruces, NM Metro Area","Las Cruces, NM Metro Area",210203,212869,214162,213651,213536,213567,214207
0100000US,United States,310M300US29820,29820,"United States - Las Vegas-Henderson-Paradise, NV Metro Area","Las Vegas-Henderson-Paradise, NV Metro Area",1953216,1966295,1995815,2025096,2064899,2109289,2155664
0100000US,United States,310M300US29940,29940,"United States - Lawrence, KS Metro Area","Lawrence, KS Metro Area",111245,112424,113304,114672,116430,117915,119440
0100000US,United States,310M300US30020,30020,"United States - Lawton, OK Metro Area","Lawton, OK Metro Area",131561,132255,132755,131154,131071,130168,128077
0100000US,United States,310M300US30140,30140,"United States - Lebanon, PA Metro Area","Lebanon, PA Metro Area",133675,134482,135633,135866,136657,137729,138863
0100000US,United States,310M300US30300,30300,"United States - Lewiston, ID-WA Metro Area","Lewiston, ID-WA Metro Area",61047,61354,61443,62029,62160,62235,62675
0100000US,United States,310M300US30340,30340,"United States - Lewiston-Auburn, ME Metro Area","Lewiston-Auburn, ME Metro Area",107705,107394,107539,107370,107408,107245,107319
0100000US,United States,310M300US30460,30460,"United States - Lexington-Fayette, KY Metro Area","Lexington-Fayette, KY Metro Area",473469,478670,484626,489625,494301,500663,506751
0100000US,United States,310M300US30620,30620,"United States - Lima, OH Metro Area","Lima, OH Metro Area",106395,105939,105295,105129,104944,104210,103742
0100000US,United States,310M300US30700,30700,"United States - Lincoln, NE Metro Area","Lincoln, NE Metro Area",302993,306681,310587,314566,319198,322827,326921
0100000US,United States,310M300US30780,30780,"United States - Little Rock-North Little Rock-Conway, AR Metro Area","Little Rock-North Little Rock-Conway, AR Metro Area",702410,710767,717660,724077,728962,731542,734622
0100000US,United States,310M300US30860,30860,"United States - Logan, UT-ID Metro Area","Logan, UT-ID Metro Area",126160,127692,128757,130040,131133,133093,136159
0100000US,United States,310M300US30980,30980,"United States - Longview, TX Metro Area","Longview, TX Metro Area",214726,215893,216578,216189,216420,217242,217446
0100000US,United States,310M300US31020,31020,"United States - Longview, WA Metro Area","Longview, WA Metro Area",102413,102378,101840,101784,102106,103378,105160
0100000US,United States,310M300US31080,31080,"United States - Los Angeles-Long Beach-Anaheim, CA Metro Area","Los Angeles-Long Beach-Anaheim, CA Metro Area",12843120,12942360,13038490,13128012,13201053,13268828,13310447
0100000US,United States,310M300US31140,31140,"United States - Louisville/Jefferson County, KY-IN Metro Area","Louisville/Jefferson County, KY-IN Metro Area",1237828,1244624,1252625,1263229,1270881,1277583,1283430
0100000US,United States,310M300US31180,31180,"United States - Lubbock, TX Metro Area","Lubbock, TX Metro Area",292260,295440,298111,301644,306677,310688,314840
0100000US,United States,310M300US31340,31340,"United States - Lynchburg, VA Metro Area","Lynchburg, VA Metro Area",253058,254241,255745,256946,258009,259378,260232
0100000US,United States,310M300US31420,31420,"United States - Macon-Bibb County, GA Metro Area","Macon-Bibb County, GA Metro Area",232265,232820,232880,231321,230630,229909,229182
0100000US,United States,310M300US31460,31460,"United States - Madera, CA Metro Area","Madera, CA Metro Area",151099,151962,151947,151811,154071,154306,154697
0100000US,United States,310M300US31540,31540,"United States - Madison, WI Metro Area","Madison, WI Metro Area",606556,613897,620503,627406,633892,640614,648929
0100000US,United States,310M300US31700,31700,"United States - Manchester-Nashua, NH Metro Area","Manchester-Nashua, NH Metro Area",401039,401774,402651,403308,405003,406015,407761
0100000US,United States,310M300US31740,31740,"United States - Manhattan, KS Metro Area","Manhattan, KS Metro Area",93320,95370,98608,98113,97497,98506,97004
0100000US,United States,310M300US31860,31860,"United States - Mankato-North Mankato, MN Metro Area","Mankato-North Mankato, MN Metro Area",96844,97319,98009,97820,98727,99178,100016
0100000US,United States,310M300US31900,31900,"United States - Mansfield, OH Metro Area","Mansfield, OH Metro Area",124174,123062,122590,122250,121912,121581,121107
0100000US,United States,310M300US32580,32580,"United States - McAllen-Edinburg-Mission, TX Metro Area","McAllen-Edinburg-Mission, TX Metro Area",779150,794682,806388,817039,829088,839314,849843
0100000US,United States,310M300US32780,32780,"United States - Medford, OR Metro Area","Medford, OR Metro Area",203410,204794,206346,207862,210311,213534,216527
0100000US,United States,310M300US32820,32820,"United States - Memphis, TN-MS-AR Metro Area","Memphis, TN-MS-AR Metro Area",1326399,1332162,1339880,1340453,1341563,1341954,1342842
0100000US,United States,310M300US32900,32900,"United States - Merced, CA Metro Area","Merced, CA Metro Area",256831,259678,261430,262661,265139,267101,268672
0100000US,United States,310M300US33100,33100,"United States - Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",5584384,5697425,5779518,5856943,5930210,6001717,6066387
0100000US,United States,310M300US33140,33140,"United States - Michigan City-La Porte, IN Metro Area","Michigan City-La Porte, IN Metro Area",111454,111202,111201,111323,111665,110762,110015
0100000US,United States,310M300US33220,33220,"United States - Midland, MI Metro Area","Midland, MI Metro Area",83663,83755,83678,83578,83459,83618,83462
0100000US,United States,310M300US33260,33260,"United States - Midland, TX Metro Area","Midland, TX Metro Area",141791,144973,152143,157350,161564,166995,168288
0100000US,United States,310M300US33340,33340,"United States - Milwaukee-Waukesha-West Allis, WI Metro Area","Milwaukee-Waukesha-West Allis, WI Metro Area",1556802,1561396,1567414,1570802,1573609,1574349,1572482
0100000US,United States,310M300US33460,33460,"United States - Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3355763,3389448,3422542,3458513,3491838,3518252,3551036
0100000US,United States,310M300US33540,33540,"United States - Missoula, MT Metro Area","Missoula, MT Metro Area",109455,110169,111092,111707,112595,113982,116130
0100000US,United States,310M300US33660,33660,"United States - Mobile, AL Metro Area","Mobile, AL Metro Area",413369,413178,413760,413884,414342,414634,414836
0100000US,United States,310M300US33700,33700,"United States - Modesto, CA Metro Area","Modesto, CA Metro Area",515342,518073,521360,524744,529754,535385,541560
0100000US,United States,310M300US33740,33740,"United States - Monroe, LA Metro Area","Monroe, LA Metro Area",176801,177376,177848,178528,178982,179463,179470
0100000US,United States,310M300US33780,33780,"United States - Monroe, MI Metro Area","Monroe, MI Metro Area",151946,151513,150862,150224,149936,149494,149208
0100000US,United States,310M300US33860,33860,"United States - Montgomery, AL Metro Area","Montgomery, AL Metro Area",375147,375576,374861,373979,373488,373563,373922
0100000US,United States,310M300US34060,34060,"United States - Morgantown, WV Metro Area","Morgantown, WV Metro Area",130333,132295,134418,135658,136909,137735,138380
0100000US,United States,310M300US34100,34100,"United States - Morristown, TN Metro Area","Morristown, TN Metro Area",114247,114824,115140,115434,115673,116702,117320
0100000US,United States,310M300US34580,34580,"United States - Mount Vernon-Anacortes, WA Metro Area","Mount Vernon-Anacortes, WA Metro Area",117006,117759,117987,118679,120303,121724,123681
0100000US,United States,310M300US34620,34620,"United States - Muncie, IN Metro Area","Muncie, IN Metro Area",117690,117872,117090,116989,116612,116019,115603
0100000US,United States,310M300US34740,34740,"United States - Muskegon, MI Metro Area","Muskegon, MI Metro Area",171922,169979,170126,172230,172281,172697,173408
0100000US,United States,310M300US34820,34820,"United States - Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",378584,385649,393935,404597,417604,432493,449295
0100000US,United States,310M300US34900,34900,"United States - Napa, CA Metro Area","Napa, CA Metro Area",136813,137940,138898,140102,141097,141854,142166
0100000US,United States,310M300US34940,34940,"United States - Naples-Immokalee-Marco Island, FL Metro Area","Naples-Immokalee-Marco Island, FL Metro Area",322724,327541,332332,339244,347899,356570,365136
0100000US,United States,310M300US34980,34980,"United States - Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1676004,1698198,1727218,1758292,1793083,1828961,1865298
0100000US,United States,310M300US35100,35100,"United States - New Bern, NC Metro Area","New Bern, NC Metro Area",127116,128260,128622,127519,127318,126211,126111
0100000US,United States,310M300US35300,35300,"United States - New Haven-Milford, CT Metro Area","New Haven-Milford, CT Metro Area",863480,864009,864177,862712,861534,859073,856875
0100000US,United States,310M300US35380,35380,"United States - New Orleans-Metairie, LA Metro Area","New Orleans-Metairie, LA Metro Area",1195636,1214086,1228094,1240964,1251221,1262071,1268883
0100000US,United States,310M300US35620,35620,"United States - New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York-Newark-Jersey City, NY-NJ-PA Metro Area",19600799,19751176,19864434,19968845,20052234,20118063,20153634
0100000US,United States,310M300US35660,35660,"United States - Niles-Benton Harbor, MI Metro Area","Niles-Benton Harbor, MI Metro Area",156793,156518,156093,155501,155439,154629,154010
0100000US,United States,310M300US35840,35840,"United States - North Port-Sarasota-Bradenton, FL Metro Area","North Port-Sarasota-Bradenton, FL Metro Area",703486,709039,720231,732157,748250,768013,788457
0100000US,United States,310M300US35980,35980,"United States - Norwich-New London, CT Metro Area","Norwich-New London, CT Metro Area",274072,273226,274267,273405,272053,270639,269801
0100000US,United States,310M300US36100,36100,"United States - Ocala, FL Metro Area","Ocala, FL Metro Area",331437,332429,334294,335800,339079,343514,349020
0100000US,United States,310M300US36140,36140,"United States - Ocean City, NJ Metro Area","Ocean City, NJ Metro Area",97267,96604,96460,95868,95417,94843,94430
0100000US,United States,310M300US36220,36220,"United States - Odessa, TX Metro Area","Odessa, TX Metro Area",137083,139689,144513,149651,154570,159689,157462
0100000US,United States,310M300US36260,36260,"United States - Ogden-Clearfield, UT Metro Area","Ogden-Clearfield, UT Metro Area",599866,606054,612811,622371,632055,642310,654417
0100000US,United States,310M300US36420,36420,"United States - Oklahoma City, OK Metro Area","Oklahoma City, OK Metro Area",1257950,1276680,1297834,1320579,1336784,1356965,1373211
0100000US,United States,310M300US36500,36500,"United States - Olympia-Tumwater, WA Metro Area","Olympia-Tumwater, WA Metro Area",253062,256516,258803,262536,265809,269183,275222
0100000US,United States,310M300US36540,36540,"United States - Omaha-Council Bluffs, NE-IA Metro Area","Omaha-Council Bluffs, NE-IA Metro Area",868189,876903,885736,895484,904555,914268,924129
0100000US,United States,310M300US36740,36740,"United States - Orlando-Kissimmee-Sanford, FL Metro Area","Orlando-Kissimmee-Sanford, FL Metro Area",2139507,2175702,2226473,2269622,2323059,2382132,2441257
0100000US,United States,310M300US36780,36780,"United States - Oshkosh-Neenah, WI Metro Area","Oshkosh-Neenah, WI Metro Area",167061,167646,168764,169518,169701,169565,169886
0100000US,United States,310M300US36980,36980,"United States - Owensboro, KY Metro Area","Owensboro, KY Metro Area",114782,115374,116078,116482,116604,117539,117959
0100000US,United States,310M300US37100,37100,"United States - Oxnard-Thousand Oaks-Ventura, CA Metro Area","Oxnard-Thousand Oaks-Ventura, CA Metro Area",825320,830707,834519,839498,844078,847719,849738
0100000US,United States,310M300US37340,37340,"United States - Palm Bay-Melbourne-Titusville, FL Metro Area","Palm Bay-Melbourne-Titusville, FL Metro Area",544008,544456,547753,551299,557299,567934,579130
0100000US,United States,310M300US37460,37460,"United States - Panama City, FL Metro Area","Panama City, FL Metro Area",185071,185311,187698,190782,194796,197821,199964
0100000US,United States,310M300US37620,37620,"United States - Parkersburg-Vienna, WV Metro Area","Parkersburg-Vienna, WV Metro Area",92762,92605,92370,92323,92204,92094,91449
0100000US,United States,310M300US37860,37860,"United States - Pensacola-Ferry Pass-Brent, FL Metro Area","Pensacola-Ferry Pass-Brent, FL Metro Area",451116,455437,462584,468431,472603,478086,485684
0100000US,United States,310M300US37900,37900,"United States - Peoria, IL Metro Area","Peoria, IL Metro Area",378947,379656,380386,381752,379869,377952,376246
0100000US,United States,310M300US37980,37980,"United States - Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5972049,5997026,6020631,6034367,6050799,6062303,6070500
0100000US,United States,310M300US38060,38060,"United States - Phoenix-Mesa-Scottsdale, AZ Metro Area","Phoenix-Mesa-Scottsdale, AZ Metro Area",4205016,4248813,4325218,4396197,4479955,4567857,4661537
0100000US,United States,310M300US38220,38220,"United States - Pine Bluff, AR Metro Area","Pine Bluff, AR Metro Area",100079,99020,97372,95712,94753,93904,91962
0100000US,United States,310M300US38300,38300,"United States - Pittsburgh, PA Metro Area","Pittsburgh, PA Metro Area",2357043,2359851,2361663,2361413,2357987,2351271,2342299
0100000US,United States,310M300US38340,38340,"United States - Pittsfield, MA Metro Area","Pittsfield, MA Metro Area",131280,130515,130201,129409,128633,127671,126903
0100000US,United States,310M300US38540,38540,"United States - Pocatello, ID Metro Area","Pocatello, ID Metro Area",83034,83584,83806,83467,83516,83911,84377
0100000US,United States,310M300US38860,38860,"United States - Portland-South Portland, ME Metro Area","Portland-South Portland, ME Metro Area",513920,516093,518295,520597,524030,526795,529657
0100000US,United States,310M300US38900,38900,"United States - Portland-Vancouver-Hillsboro, OR-WA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area",2232543,2260165,2288142,2312503,2346192,2384807,2424955
0100000US,United States,310M300US38940,38940,"United States - Port St. Lucie, FL Metro Area","Port St. Lucie, FL Metro Area",425264,428601,432671,437375,444274,454111,465208
0100000US,United States,310M300US39140,39140,"United States - Prescott, AZ Metro Area","Prescott, AZ Metro Area",211139,211138,212350,215027,218405,221584,225562
0100000US,United States,310M300US39300,39300,"United States - Providence-Warwick, RI-MA Metro Area","Providence-Warwick, RI-MA Metro Area",1602537,1601851,1604242,1605670,1609551,1612574,1614750
0100000US,United States,310M300US39340,39340,"United States - Provo-Orem, UT Metro Area","Provo-Orem, UT Metro Area",530340,540980,550452,562641,571653,585362,603309
0100000US,United States,310M300US39380,39380,"United States - Pueblo, CO Metro Area","Pueblo, CO Metro Area",159521,159785,160397,160803,161350,163117,165123
0100000US,United States,310M300US39460,39460,"United States - Punta Gorda, FL Metro Area","Punta Gorda, FL Metro Area",159935,159671,162937,165018,168595,173194,178465
0100000US,United States,310M300US39540,39540,"United States - Racine, WI Metro Area","Racine, WI Metro Area",195444,194942,194610,194775,194925,194917,195140
0100000US,United States,310M300US39580,39580,"United States - Raleigh, NC Metro Area","Raleigh, NC Metro Area",1137392,1163097,1188670,1213875,1241724,1271381,1302946
0100000US,United States,310M300US39660,39660,"United States - Rapid City, SD Metro Area","Rapid City, SD Metro Area",135062,136352,138642,141220,143345,144059,145661
0100000US,United States,310M300US39740,39740,"United States - Reading, PA Metro Area","Reading, PA Metro Area",411988,412676,413331,413687,414021,414635,414812
0100000US,United States,310M300US39820,39820,"United States - Redding, CA Metro Area","Redding, CA Metro Area",177320,177963,178430,179062,179717,179301,179631
0100000US,United States,310M300US39900,39900,"United States - Reno, NV Metro Area","Reno, NV Metro Area",426141,428836,432568,436773,442841,449427,457667
0100000US,United States,310M300US40060,40060,"United States - Richmond, VA Metro Area","Richmond, VA Metro Area",1210272,1219657,1233682,1246100,1258885,1270414,1281708
0100000US,United States,310M300US40140,40140,"United States - Riverside-San Bernardino-Ontario, CA Metro Area","Riverside-San Bernardino-Ontario, CA Metro Area",4243788,4299091,4342166,4379397,4428390,4475437,4527837
0100000US,United States,310M300US40220,40220,"United States - Roanoke, VA Metro Area","Roanoke, VA Metro Area",308641,309344,310850,312400,313418,314089,313698
0100000US,United States,310M300US40340,40340,"United States - Rochester, MN Metro Area","Rochester, MN Metro Area",207178,208531,209603,211584,212562,213707,215884
0100000US,United States,310M300US40380,40380,"United States - Rochester, NY Metro Area","Rochester, NY Metro Area",1080362,1082694,1083350,1084250,1083371,1081280,1078879
0100000US,United States,310M300US40420,40420,"United States - Rockford, IL Metro Area","Rockford, IL Metro Area",349233,347788,345736,344647,342345,340658,339376
0100000US,United States,310M300US40580,40580,"United States - Rocky Mount, NC Metro Area","Rocky Mount, NC Metro Area",152445,151793,150986,149990,149220,147750,147323
0100000US,United States,310M300US40660,40660,"United States - Rome, GA Metro Area","Rome, GA Metro Area",96423,96214,96065,96006,96061,96303,96560
0100000US,United States,310M300US40900,40900,"United States - Sacramento--Roseville--Arden-Arcade, CA Metro Area","Sacramento--Roseville--Arden-Arcade, CA Metro Area",2154527,2174815,2193741,2214570,2240391,2267588,2296418
0100000US,United States,310M300US40980,40980,"United States - Saginaw, MI Metro Area","Saginaw, MI Metro Area",199916,198838,198352,196785,195252,193290,192326
0100000US,United States,310M300US41060,41060,"United States - St. Cloud, MN Metro Area","St. Cloud, MN Metro Area",189218,190154,190695,191645,192925,194680,195644
0100000US,United States,310M300US41100,41100,"United States - St. George, UT Metro Area","St. George, UT Metro Area",138443,141541,144613,147628,151857,155450,160245
0100000US,United States,310M300US41140,41140,"United States - St. Joseph, MO-KS Metro Area","St. Joseph, MO-KS Metro Area",127242,127756,127992,127728,127313,126708,126565
0100000US,United States,310M300US41180,41180,"United States - St. Louis, MO-IL Metro Area","St. Louis, MO-IL Metro Area",2790092,2793811,2796903,2800154,2804862,2808330,2807002
0100000US,United States,310M300US41420,41420,"United States - Salem, OR Metro Area","Salem, OR Metro Area",391560,393731,396244,398325,402900,409377,418139
0100000US,United States,310M300US41500,41500,"United States - Salinas, CA Metro Area","Salinas, CA Metro Area",416415,421157,425799,428064,429902,432007,435232
0100000US,United States,310M300US41540,41540,"United States - Salisbury, MD-DE Metro Area","Salisbury, MD-DE Metro Area",374786,378238,381530,384841,389357,394521,400200
0100000US,United States,310M300US41620,41620,"United States - Salt Lake City, UT Metro Area","Salt Lake City, UT Metro Area",1091689,1107804,1124334,1141510,1152988,1167501,1186187
0100000US,United States,310M300US41660,41660,"United States - San Angelo, TX Metro Area","San Angelo, TX Metro Area",112280,113381,114993,116466,118273,119488,119943
0100000US,United States,310M300US41700,41700,"United States - San Antonio-New Braunfels, TX Metro Area","San Antonio-New Braunfels, TX Metro Area",2153229,2194063,2237381,2281831,2331197,2381703,2429609
0100000US,United States,310M300US41740,41740,"United States - San Diego-Carlsbad, CA Metro Area","San Diego-Carlsbad, CA Metro Area",3104346,3140692,3181513,3218419,3258856,3290245,3317749
0100000US,United States,310M300US41860,41860,"United States - San Francisco-Oakland-Hayward, CA Metro Area","San Francisco-Oakland-Hayward, CA Metro Area",4345175,4398193,4458646,4521994,4585623,4642227,4679166
0100000US,United States,310M300US41940,41940,"United States - San Jose-Sunnyvale-Santa Clara, CA Metro Area","San Jose-Sunnyvale-Santa Clara, CA Metro Area",1842191,1869027,1895787,1924432,1947922,1968578,1978816
0100000US,United States,310M300US42020,42020,"United States - San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area","San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",269909,271176,274487,276191,278877,280960,282887
0100000US,United States,310M300US42100,42100,"United States - Santa Cruz-Watsonville, CA Metro Area","Santa Cruz-Watsonville, CA Metro Area",263270,264896,266435,268948,270971,273627,274673
0100000US,United States,310M300US42140,42140,"United States - Santa Fe, NM Metro Area","Santa Fe, NM Metro Area",144465,145378,146157,146754,147329,147708,148651
0100000US,United States,310M300US42200,42200,"United States - Santa Maria-Santa Barbara, CA Metro Area","Santa Maria-Santa Barbara, CA Metro Area",424396,425998,430638,435800,440553,443815,446170
0100000US,United States,310M300US42220,42220,"United States - Santa Rosa, CA Metro Area","Santa Rosa, CA Metro Area",484817,487641,490509,494657,499168,501474,503070
0100000US,United States,310M300US42340,42340,"United States - Savannah, GA Metro Area","Savannah, GA Metro Area",348739,355820,362193,365600,372202,378829,384024
0100000US,United States,310M300US42540,42540,"United States - Scranton--Wilkes-Barre--Hazleton, PA Metro Area","Scranton--Wilkes-Barre--Hazleton, PA Metro Area",563742,564006,564348,562004,560170,557743,555225
0100000US,United States,310M300US42660,42660,"United States - Seattle-Tacoma-Bellevue, WA Metro Area","Seattle-Tacoma-Bellevue, WA Metro Area",3448746,3497925,3552815,3609617,3667042,3727097,3798902
0100000US,United States,310M300US42680,42680,"United States - Sebastian-Vero Beach, FL Metro Area","Sebastian-Vero Beach, FL Metro Area",138243,139027,140650,141966,144740,147792,151563
0100000US,United States,310M300US42700,42700,"United States - Sebring, FL Metro Area","Sebring, FL Metro Area",98664,98308,98045,97817,98085,99447,100917
0100000US,United States,310M300US43100,43100,"United States - Sheboygan, WI Metro Area","Sheboygan, WI Metro Area",115475,115360,115046,114978,115303,115591,115427
0100000US,United States,310M300US43300,43300,"United States - Sherman-Denison, TX Metro Area","Sherman-Denison, TX Metro Area",121037,121274,121636,122249,123500,125537,128235
0100000US,United States,310M300US43340,43340,"United States - Shreveport-Bossier City, LA Metro Area","Shreveport-Bossier City, LA Metro Area",441197,445048,448471,446809,444951,444132,441767
0100000US,United States,310M300US43420,43420,"United States - Sierra Vista-Douglas, AZ Metro Area","Sierra Vista-Douglas, AZ Metro Area",131807,132960,131843,129554,127321,126395,125770
0100000US,United States,310M300US43580,43580,"United States - Sioux City, IA-NE-SD Metro Area","Sioux City, IA-NE-SD Metro Area",168830,168952,168691,168582,168607,168710,169140
0100000US,United States,310M300US43620,43620,"United States - Sioux Falls, SD Metro Area","Sioux Falls, SD Metro Area",229226,232758,237753,243263,247936,251889,255729
0100000US,United States,310M300US43780,43780,"United States - South Bend-Mishawaka, IN-MI Metro Area","South Bend-Mishawaka, IN-MI Metro Area",318979,319169,318662,318820,319433,319799,320740
0100000US,United States,310M300US43900,43900,"United States - Spartanburg, SC Metro Area","Spartanburg, SC Metro Area",313681,314761,316643,318753,321389,324863,329136
0100000US,United States,310M300US44060,44060,"United States - Spokane-Spokane Valley, WA Metro Area","Spokane-Spokane Valley, WA Metro Area",528595,529942,532440,535711,540840,547392,556634
0100000US,United States,310M300US44100,44100,"United States - Springfield, IL Metro Area","Springfield, IL Metro Area",210507,211634,211995,211578,211537,210950,210015
0100000US,United States,310M300US44140,44140,"United States - Springfield, MA Metro Area","Springfield, MA Metro Area",623470,626107,626996,628057,630076,630127,630283
0100000US,United States,310M300US44180,44180,"United States - Springfield, MO Metro Area","Springfield, MO Metro Area",437411,440371,444693,448775,452263,456328,458930
0100000US,United States,310M300US44220,44220,"United States - Springfield, OH Metro Area","Springfield, OH Metro Area",138245,137754,137172,136689,136412,135815,134786
0100000US,United States,310M300US44300,44300,"United States - State College, PA Metro Area","State College, PA Metro Area",154304,154995,155936,158331,159666,160491,161464
0100000US,United States,310M300US44420,44420,"United States - Staunton-Waynesboro, VA Metro Area","Staunton-Waynesboro, VA Metro Area",118351,118893,118668,119432,119842,120463,121247
0100000US,United States,310M300US44700,44700,"United States - Stockton-Lodi, CA Metro Area","Stockton-Lodi, CA Metro Area",687380,694943,700611,703265,713218,723496,733709
0100000US,United States,310M300US44940,44940,"United States - Sumter, SC Metro Area","Sumter, SC Metro Area",107575,107292,107943,107870,107821,107382,107396
0100000US,United States,310M300US45060,45060,"United States - Syracuse, NY Metro Area","Syracuse, NY Metro Area",663082,662882,661753,663196,661792,660008,656510
0100000US,United States,310M300US45220,45220,"United States - Tallahassee, FL Metro Area","Tallahassee, FL Metro Area",369355,371156,375391,373268,375595,377806,379627
0100000US,United States,310M300US45300,45300,"United States - Tampa-St. Petersburg-Clearwater, FL Metro Area","Tampa-St. Petersburg-Clearwater, FL Metro Area",2788839,2828665,2847624,2871972,2915715,2971086,3032171
0100000US,United States,310M300US45460,45460,"United States - Terre Haute, IN Metro Area","Terre Haute, IN Metro Area",172298,172515,172510,171990,171283,170754,170687
0100000US,United States,310M300US45500,45500,"United States - Texarkana, TX-AR Metro Area","Texarkana, TX-AR Metro Area",149356,149605,149705,149636,149539,149847,150098
0100000US,United States,310M300US45540,45540,"United States - The Villages, FL Metro Area","The Villages, FL Metro Area",94280,98584,102790,108263,114012,118882,123996
0100000US,United States,310M300US45780,45780,"United States - Toledo, OH Metro Area","Toledo, OH Metro Area",610124,609337,608196,607728,606698,605579,605221
0100000US,United States,310M300US45820,45820,"United States - Topeka, KS Metro Area","Topeka, KS Metro Area",234280,234711,234495,233943,233791,233572,233068
0100000US,United States,310M300US45940,45940,"United States - Trenton, NJ Metro Area","Trenton, NJ Metro Area",367997,368044,370087,371506,371688,371199,371023
0100000US,United States,310M300US46060,46060,"United States - Tucson, AZ Metro Area","Tucson, AZ Metro Area",981927,987816,992490,996634,1003157,1008205,1016206
0100000US,United States,310M300US46140,46140,"United States - Tulsa, OK Metro Area","Tulsa, OK Metro Area",939982,945936,952978,962553,969821,980459,987201
