GEOIDUS,GEODISPLAB,GCTARGID,GEOID,GCDISPLAB,GCLAB,2010,2011,2012,2013,2014,2015,2016
0100000US,United States,310M300US14260,14260,"United States - Boise City, ID Metro Area","Boise City, ID Metro Area",618025,627610,637527,649653,664024,675777,691423
0100000US,United States,310M300US14460,14460,"United States - Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",4565907,4608410,4652011,4696293,4734711,4766755,4794447
0100000US,United States,310M300US14500,14500,"United States - Boulder, CO Metro Area","Boulder, CO Metro Area",295983,300597,305350,310287,313204,318738,322226
0100000US,United States,310M300US14540,14540,"United States - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",159155,160761,162207,164114,165942,168620,171122
0100000US,United States,310M300US14740,14740,"United States - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",251735,254451,254729,253114,254272,260514,264811
0100000US,United States,310M300US14860,14860,"United States - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",919750,928890,934931,940621,943686,944674,944177
0100000US,United States,310M300US15180,15180,"United States - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",407629,412937,415445,417260,419191,419893,422135
0100000US,United States,310M300US15260,15260,"United States - Brunswick, GA Metro Area","Brunswick, GA Metro Area",112540,113031,113407,113872,114750,116022,116784
0100000US,United States,310M300US15380,15380,"United States - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135709,1135817,1135633,1136417,1137186,1135479,1132804
0100000US,United States,310M300US15500,15500,"United States - Burlington, NC Metro Area","Burlington, NC Metro Area",151486,152847,153659,154622,156036,157857,159688
0100000US,United States,310M300US15540,15540,"United States - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",211554,212890,214006,215223,216537,217273,217365
0100000US,United States,310M300US15680,15680,"United States - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",105752,107781,109071,109607,110483,111628,112587
0100000US,United States,310M300US15940,15940,"United States - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",404295,403159,403394,403270,403751,402655,401281
0100000US,United States,310M300US15980,15980,"United States - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",620590,630543,644096,660085,678048,700285,722336
0100000US,United States,310M300US16020,16020,"United States - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",96443,97064,97278,97286,97589,97514,97443
0100000US,United States,310M300US16060,16060,"United States - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",126819,127031,125755,126980,126643,126809,126430
0100000US,United States,310M300US16180,16180,"United States - Carson City, NV Metro Area","Carson City, NV Metro Area",55025,54738,54540,53989,54385,54405,54742
0100000US,United States,310M300US16220,16220,"United States - Casper, WY Metro Area","Casper, WY Metro Area",75474,76410,78602,81092,81432,82191,81039
0100000US,United States,310M300US16300,16300,"United States - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",258408,260882,261705,262295,263734,265850,267799
0100000US,United States,310M300US16540,16540,"United States - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",149948,151014,151575,152063,152751,153295,153851
0100000US,United States,310M300US16580,16580,"United States - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",232298,233325,234442,235612,236788,237840,238554
0100000US,United States,310M300US16620,16620,"United States - Charleston, WV Metro Area","Charleston, WV Metro Area",226896,225811,225796,224687,222797,220375,217916
0100000US,United States,310M300US16700,16700,"United States - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",667501,681318,697123,711449,727027,744603,761155
0100000US,United States,310M300US16740,16740,"United States - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",2223454,2256476,2294642,2334781,2377378,2424643,2474314
0100000US,United States,310M300US16820,16820,"United States - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",219094,221251,222966,224347,226440,228977,231349
0100000US,United States,310M300US16860,16860,"United States - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",529228,533351,538156,541926,543891,547007,551632
0100000US,United States,310M300US16940,16940,"United States - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",92272,92637,94785,95929,96264,97183,98136
0100000US,United States,310M300US16980,16980,"United States - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9471637,9493862,9516555,9535961,9543893,9532569,9512999
0100000US,United States,310M300US17020,17020,"United States - Chico, CA Metro Area","Chico, CA Metro Area",219983,219987,221180,222116,223974,225251,226864
0100000US,United States,310M300US17140,17140,"United States - Cincinnati, OH-KY-IN Metro Area","Cincinnati, OH-KY-IN Metro Area",2117889,2122659,2128439,2136296,2146784,2155392,2165139
0100000US,United States,310M300US17300,17300,"United States - Clarksville, TN-KY Metro Area","Clarksville, TN-KY Metro Area",261718,264443,275272,273191,277759,280988,282349
0100000US,United States,310M300US17420,17420,"United States - Cleveland, TN Metro Area","Cleveland, TN Metro Area",115936,116620,117707,118521,119643,120651,121262
0100000US,United States,310M300US17460,17460,"United States - Cleveland-Elyria, OH Metro Area","Cleveland-Elyria, OH Metro Area",2075769,2068471,2064240,2064501,2063862,2059929,2055612
0100000US,United States,310M300US17660,17660,"United States - Coeur d'Alene, ID Metro Area","Coeur d'Alene, ID Metro Area",138887,141025,142311,144299,147294,150364,154311
0100000US,United States,310M300US17780,17780,"United States - College Station-Bryan, TX Metro Area","College Station-Bryan, TX Metro Area",229480,231386,234025,237722,242530,250040,254928
0100000US,United States,310M300US17820,17820,"United States - Colorado Springs, CO Metro Area","Colorado Springs, CO Metro Area",650397,660230,669014,678235,686022,697619,712327
0100000US,United States,310M300US17860,17860,"United States - Columbia, MO Metro Area","Columbia, MO Metro Area",163201,166030,168746,171072,172906,174546,176594
0100000US,United States,310M300US17900,17900,"United States - Columbia, SC Metro Area","Columbia, SC Metro Area",769689,776543,783941,791746,799854,809771,817488
0100000US,United States,310M300US17980,17980,"United States - Columbus, GA-AL Metro Area","Columbus, GA-AL Metro Area",296506,302721,311071,316616,314029,311820,308755
0100000US,United States,310M300US18020,18020,"United States - Columbus, IN Metro Area","Columbus, IN Metro Area",76845,77626,78927,79491,80182,81011,81402
0100000US,United States,310M300US18140,18140,"United States - Columbus, OH Metro Area","Columbus, OH Metro Area",1906516,1925857,1946428,1970123,1996809,2020144,2041520
