,PUMA_GEOID,PUMA_NAME,UAC_ID,UAC_NAME,UAC_POP
5179,3604108,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5178,3604104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5149,3604015,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5148,3604009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5147,3603206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5146,3603209,Nassau County (Central)--Hempstead Town (East Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4898,3401202,Ocean County (Central)--Beachwood Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4899,3401002,Somerset County (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4900,3401001,Somerset County (North & West) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4901,3401502,Morris County (West) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4902,3401501,Morris County (North)--Dover Town & Kinnelon Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4903,3400307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
4904,3401302,Essex County (Southeast)--Newark City (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4905,3401204,Ocean County (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4906,3401102,Monmouth County (Southwest)--Freehold Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4907,3401503,Morris County (East)--Lincoln Park Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4908,3400502,Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4909,3401901,Union County (North Central)--Roselle Park Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4910,3400906,"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
4911,3401106,Monmouth County (Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4912,3400702,Hudson County (Northeast)--Union City & Hoboken Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4913,3400601,Hudson County (Central)--Jersey City (North) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4914,3400602,Hudson County (Central)--Jersey City (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4915,3400703,"Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
4916,3401800,Union County (Northeast)--Elizabeth City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4917,3401904,"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
4918,3400905,Middlesex County (Northeast)--Carteret Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4919,3400907,Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4920,3400901,Middlesex County (Southeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4897,3401205,Ocean County (Northeast)--Point Pleasant Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4896,3401404,Essex County (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4895,3401401,Essex County (Northeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4882,3401203,Ocean County (North Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5145,3603313,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5144,3603309,Suffolk County (Central)--Islip Town (East) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5143,3603307,Suffolk County (Central)--Brookhaven Town (Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5142,3604007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5141,3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5140,3604017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
5139,3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5138,3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
5137,3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
4881,0900102,Stamford & Greenwich Towns PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4883,3400902,Middlesex County (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4894,3400501,Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4884,3401003,Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
4885,3400302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
