,PUMA_GEOID,PUMA_NAME,UAC_ID,UAC_NAME,UAC_POP
1074,3604102,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1075,3604107,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1076,3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
1077,3604013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1078,3604004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1079,3603001,Rockland County (North)--New City & Congers PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1080,3603107,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1081,3604001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1083,3603205,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1073,3604101,NYC-Queens Community District 1--Astoria & Long Island City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1072,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
1071,3604012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1060,3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
1051,3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
1052,3604007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1053,3603307,Suffolk County (Central)--Brookhaven Town (Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1054,3603309,Suffolk County (Central)--Islip Town (East) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1055,3603313,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1056,3603209,Nassau County (Central)--Hempstead Town (East Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1058,3604009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1059,3604015,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1061,3603102,Westchester County (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1070,3603801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
1062,3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
1063,3603302,Suffolk County (Northwest)--Huntington Town (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1064,3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
1065,3603106,Westchester County (Southwest)--Yonkers City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1066,3603105,Westchester County (Central)--White Plains City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1067,3603002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
1068,3603806,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
1069,3603802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
934,3400502,Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
936,3400906,"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
937,3400702,Hudson County (Northeast)--Union City & Hoboken Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
938,3400601,Hudson County (Central)--Jersey City (North) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
939,3400602,Hudson County (Central)--Jersey City (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
940,3400703,"Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
941,3401800,Union County (Northeast)--Elizabeth City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
942,3401904,"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
943,3400905,Middlesex County (Northeast)--Carteret Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
944,3400907,Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
945,3400901,Middlesex County (Southeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
946,3401105,Monmouth County (Northwest)--Keansburg Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
947,3401101,Monmouth County (Southeast)--Tinton Falls Borough (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
948,3400301,Bergen County (South Central)--Hackensack & Englewood (West) Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
949,3401301,Essex County (Southeast)--Newark City (North & East) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
950,3400904,Middlesex County (North Central)--Metuchen Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
951,3401104,Monmouth County (Northeast)--Red Bank & Tinton Falls (North) Boroughs PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
952,3401103,"Monmouth County (East Central)--Long Branch, Asbury Park Cities & Eatontown Borough PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
953,3400306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
954,3400308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
935,3401901,Union County (North Central)--Roselle Park Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
933,3401503,Morris County (East)--Lincoln Park Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
932,3401302,Essex County (Southeast)--Newark City (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
913,3401203,Ocean County (North Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
914,3400902,Middlesex County (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
915,3401003,Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
916,3400302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
917,3401402,Essex County (South Central)--East Orange City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
918,3401903,Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
919,3400903,Middlesex County (Northwest)--South Plainfield & Middlesex Boroughs PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
920,3400400,Passaic County (Southeast)--Paterson City PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
921,3400304,"Bergen County (West Central)--Fair Lawn Borough, Garfield City & Lodi Borough PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
922,3401902,Union County (Northwest)--Summit City & Westfield Town (North) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
923,3401403,Essex County (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
924,3400501,Passaic County (South)--Passaic & Clifton (Southeast) Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
925,3401401,Essex County (Northeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
926,3401404,Essex County (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
927,3401205,Ocean County (Northeast)--Point Pleasant Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
928,3401202,Ocean County (Central)--Beachwood Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
929,3401002,Somerset County (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
930,3401001,Somerset County (North & West) PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
931,3400307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
955,3400305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
957,3400701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns PUMA",63217,"New York--Newark, NY--NJ--CT",18758219
978,3603206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,63217,"New York--Newark, NY--NJ--CT",18758219
736,0605918,Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
737,0607112,San Bernardino County (Southwest)--Upland & Montclair Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
738,0607111,San Bernardino County (Southwest)--Rancho Cucamonga City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
739,0605917,Orange County (Central)--Santa Ana City (East) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
740,0605916,Orange County (Central)--Santa Ana City (West) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
741,0603757,Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
742,0603750,Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
746,0603707,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
743,0603747,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
744,0603705,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
745,0603706,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
747,0603745,Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
748,0603732,Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
749,0603739,Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
734,0603727,Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
750,0603753,Los Angeles County (South)--Downey City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
751,0603734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
735,0603725,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
725,0603752,Los Angeles County (South)--South Gate & Lynwood Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
733,0603728,Los Angeles County (Southwest)--Santa Monica City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
732,0603748,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
717,0603762,Los Angeles County (South Central)--Carson City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
753,0603740,Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
718,0603729,Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
719,0603724,Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
720,0603746,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
721,0603721,Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
722,0603737,Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
723,0603754,Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
724,0603755,Los Angeles County (Southeast)--Norwalk City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
726,0603742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
727,0605908,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
728,0603765,Los Angeles County (Southeast)--Long Beach City (East) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
729,0603769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
730,0603766,Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
731,0603767,Los Angeles County (South)--LA City (South/San Pedro) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
752,0603733,Los Angeles County (Central)--LA City (Central/Koreatown) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
776,0603723,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
754,0603744,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
784,0603749,Los Angeles County (Central)--Inglewood City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
777,0603720,Los Angeles County (Central)--Burbank City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
778,0603736,Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
779,0603714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
780,0605907,Orange County (North Central)--Fullerton & Placentia Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
781,0605904,Orange County (Central)--Irvine City (Central) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
782,0603761,Los Angeles County (South Central)--Torrance City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
783,0603759,Los Angeles County (South Central)--Hawthorne City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
785,0605909,Orange County (North Central)--Anaheim City (West) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
755,0603741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
786,0603764,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
787,0603731,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
788,0603722,Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
789,0603718,Los Angeles County (Central)--Pasadena City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
790,0603738,Los Angeles County (Central)--El Monte & South El Monte Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
791,0603715,Los Angeles County (East Central)--West Covina City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
715,0605912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
775,0603711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
774,0603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
773,0603758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
772,0605911,Orange County (Central)--Orange & Villa Park Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
756,0603743,Los Angeles County (Central)--East Los Angeles PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
757,0603713,Los Angeles County (East Central)--Covina & Walnut Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
758,0603712,Los Angeles County (East Central)--Pomona City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
759,0607114,San Bernardino County (Southwest)--Chino & Chino Hills Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
760,0605913,Orange County (Northwest)--Garden Grove City (East) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
761,0603735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
762,0603716,Los Angeles County (East Central)--La Puente & Industry Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
763,0607113,San Bernardino County (Southwest)--Ontario City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
764,0603756,Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
766,0603730,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
767,0603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
768,0603719,Los Angeles County (Central)--Glendale City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
769,0603717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
770,0605906,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
771,0605910,Orange County (North Central)--Anaheim City (East) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
716,0603763,Los Angeles County (South Central)--Long Beach City (North) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
765,0603751,Los Angeles County (South Central)--LA City (South Central/Watts) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12460016
291,1703411,Cook County (South Central)--Worth & Calumet Townships PUMA,16264,"Chicago, IL--IN",8679933
331,1703207,Dupage County (Northeast)--Addison & Bloomingdale (North) Townships PUMA,16264,"Chicago, IL--IN",8679933
319,1703531,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA",16264,"Chicago, IL--IN",8679933
320,1703209,DuPage County (Southwest)--Naperville & Winfield (South) Townships PUMA,16264,"Chicago, IL--IN",8679933
321,1703418,Cook County (Northwest)--Schaumburg Township (South & Central) PUMA,16264,"Chicago, IL--IN",8679933
322,1703408,"Cook County (Central)--Cicero, Berwyn & Oak Park Townships PUMA",16264,"Chicago, IL--IN",8679933
