,PUMA_GEOID,PUMA_NAME,CBSA_GEOID,CBSA_NAME,CBSA_POP
1885,3604013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1884,3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1883,3604107,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1881,3604101,NYC-Queens Community District 1--Astoria & Long Island City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1867,3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1880,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1879,3604012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1878,3603801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1877,3603802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1876,3603806,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1875,3602902,Orange County (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1874,3602903,Orange County (Southeast) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1873,3603003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1872,3603002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1871,3603105,Westchester County (Central)--White Plains City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1870,3603106,Westchester County (Southwest)--Yonkers City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1869,3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1868,3603302,Suffolk County (Northwest)--Huntington Town (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1834,3603705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1832,3603706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1897,3604002,NYC-Brooklyn Community District 4--Bushwick PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1831,3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1801,3604108,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1817,3603202,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1830,3604008,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1829,3603710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1828,3603808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
